data;hora de saída;hora de chegada;prazo;morada de partida;morada de chegada;distância;quilometragem no conta-quilómetros (km);consumo médio (l/100);preço do combustível (EUR/l);custo (EUR);categoria;
"22/01/23";21:13;21:52;"00:39";;;"16";21242;"6,4";"1,68";"1,75";""
"23/01/23";07:26;07:39;"00:13";;;"8";21250;"6";"1,68";"0,79";""
"23/01/23";17:32;17:46;"00:14";;;"7";21257;"8,2";"1,68";"0,96";""
"24/01/23";07:25;07:37;"00:12";;;"8";21264;"6,4";"1,68";"0,83";""
"24/01/23";17:15;17:29;"00:14";;;"7";21271;"7,9";"1,68";"0,93";""
"25/01/23";07:29;07:41;"00:11";;;"8";21279;"6,5";"1,68";"0,83";""
"25/01/23";17:21;17:42;"00:21";;;"7";21286;"8,7";"1,68";"1,03";""
"26/01/23";07:16;07:29;"00:13";;;"8";21294;"6,4";"1,68";"0,83";""
"26/01/23";17:17;17:32;"00:15";;;"7";21301;"8,2";"1,68";"0,96";""
"27/01/23";07:32;07:45;"00:13";;;"8";21309;"5,9";"1,68";"0,76";""
"27/01/23";17:16;17:32;"00:16";;;"7";21316;"8,2";"1,68";"0,96";""
"28/01/23";15:41;16:05;"00:23";;;"16";21332;"4,8";"1,68";"1,31";""
"28/01/23";22:27;22:50;"00:23";;;"16";21348;"6,2";"1,68";"1,68";""
"29/01/23";09:59;10:13;"00:13";;;"7";21355;"6,5";"1,68";"0,79";""
"29/01/23";11:08;11:35;"00:27";;;"22";21377;"5,2";"1,68";"1,89";""
"29/01/23";11:38;12:17;"00:38";;;"36";21413;"5,1";"1,68";"3,06";""
"29/01/23";16:02;16:31;"00:28";;;"20";21432;"5,7";"1,68";"1,86";""
"29/01/23";17:22;18:32;"01:10";;;"46";21479;"5,5";"1,68";"4,26";""
"30/01/23";07:26;07:39;"00:13";;;"8";21487;"6,6";"1,68";"0,86";""
"30/01/23";17:16;17:30;"00:14";;;"7";21494;"8,2";"1,68";"0,96";""
"31/01/23";07:28;07:43;"00:15";;;"8";21502;"6,9";"1,68";"0,89";""
"31/01/23";17:18;17:35;"00:17";;;"7";21509;"9,3";"1,68";"1,13";""
